nom_fichier;saison;categorie;description;mots_cles
noel_03_achats_cadeaux_en_ligne.png;Événements;Noël;Achat de cadeaux de Noël en ligne depuis la maison avec smartphone, ordinateur et colis sobres.;Noël, achats en ligne, cadeaux, smartphone, colis, shopping malin
noel_04_depenses_fin_annee.png;Événements;Noël;Organisation des dépenses de fin d’année avec reçus, carnet, ordinateur et ambiance hivernale douce.;Noël, fin d’année, budget, reçus, organisation, économies du quotidien
black_friday_01_comparaison_offres.png;Événements;Black Friday;Comparaison d’offres Black Friday sur ordinateur avec étiquettes sobres et organisation calme.;Black Friday, comparaison offres, shopping, ordinateur, bons plans, économies
black_friday_02_liste_achats_reflechis.png;Événements;Black Friday;Préparation d’une liste d’achats réfléchis avant le Black Friday avec smartphone et ordinateur.;Black Friday, liste achats, shopping réfléchi, smartphone, budget, économies
black_friday_03_code_promo_cashback.png;Événements;Black Friday;Vérification d’un code promo ou cashback Black Friday sur téléphone dans un bureau chaleureux.;Black Friday, code promo, cashback, téléphone, shopping malin, bons plans
soldes_hiver_01_comparaison_prix.png;Événements;Soldes d’hiver;Comparaison de prix pendant les soldes d’hiver avec ordinateur, smartphone et étiquettes sobres.;soldes hiver, comparaison prix, shopping, ordinateur, économies
soldes_hiver_02_achats_reflechis.png;Événements;Soldes d’hiver;Achats réfléchis pendant les soldes d’hiver avec colis, ordinateur et ambiance hivernale lumineuse.;soldes hiver, achats réfléchis, colis, ordinateur, bons plans
soldes_ete_01_preparation_vacances.png;Événements;Soldes d’été;Préparation des vacances et achats malins pendant les soldes d’été avec valise et ordinateur.;soldes été, vacances, achats malins, valise, économies
soldes_ete_02_achats_malins.png;Événements;Soldes d’été;Organisation d’achats d’été réfléchis près d’une fenêtre lumineuse avec ordinateur et téléphone.;soldes été, shopping, téléphone, ordinateur, vacances
saint_valentin_01_budget_cadeau_diner.png;Événements;Saint-Valentin;Préparation d’un budget cadeau et dîner de Saint-Valentin avec roses, bougies et carnet.;Saint-Valentin, budget cadeau, dîner, roses, économies
saint_valentin_02_offre_restaurant.png;Événements;Saint-Valentin;Consultation d’une offre restaurant pour la Saint-Valentin dans une ambiance chaleureuse et élégante.;Saint-Valentin, restaurant, offre, dîner, téléphone
paques_01_budget_courses_cadeaux.png;Événements;Pâques;Préparation du budget courses et cadeaux de Pâques avec tulipes et panier d’œufs décorés.;Pâques, budget, courses, œufs, tulipes
paques_02_offres_printanieres.png;Événements;Pâques;Consultation d’offres printanières de Pâques sur smartphone en terrasse fleurie.;Pâques, offres, printemps, smartphone, œufs décorés
halloween_01_budget_gourmandises.png;Événements;Halloween;Organisation d’un budget gourmandises d’Halloween avec citrouilles élégantes et bougies.;Halloween, budget, citrouilles, automne, gourmandises
halloween_02_liste_bons_plans.png;Événements;Halloween;Consultation d’une liste de bons plans Halloween dans une ambiance automnale douce.;Halloween, bons plans, citrouilles, téléphone, automne
aid_01_budget_table_famille.png;Événements;Aïd;Préparation du budget de table familiale pour l’Aïd avec lanterne, pâtisseries et thé.;Aïd, budget, famille, lanterne, pâtisseries
aid_02_preparatifs_offres.png;Événements;Aïd;Consultation des préparatifs et offres pour l’Aïd avec table élégante, lanterne et pâtisseries.;Aïd, préparatifs, offres, téléphone, pâtisseries
rentree_scolaire_01_budget_fournitures.png;Événements;Rentrée scolaire;Organisation du budget fournitures de rentrée avec agenda, ordinateur et liste.;rentrée scolaire, budget, fournitures, agenda, ordinateur
rentree_scolaire_02_comparaison_prix.png;Événements;Rentrée scolaire;Comparaison des prix de fournitures de rentrée sur ordinateur et téléphone.;rentrée scolaire, comparaison prix, fournitures, téléphone, économies
rentree_scolaire_03_organisation_septembre.png;Événements;Rentrée scolaire;Organisation du mois de septembre et du budget de rentrée avec calendrier et fournitures.;rentrée scolaire, septembre, organisation, calendrier, budget
nouvel_an_01_objectifs_budget.png;Événements;Nouvel An;Préparation des objectifs budget de début d’année avec calendrier de janvier et carnet.;Nouvel An, objectifs, budget, calendrier, économies
nouvel_an_02_plan_economies_annuel.png;Événements;Nouvel An;Plan d’économies annuel avec ordinateur, carnet et ambiance lumineuse de Nouvel An.;Nouvel An, économies annuelles, objectifs, ordinateur, budget
fete_des_meres_01_budget_cadeau.png;Événements;Fête des Mères;Préparation du budget cadeau de Fête des Mères avec fleurs et coffret élégant.;Fête des Mères, cadeau, fleurs, budget, famille
fete_des_meres_02_offre_cadeau_fleurs.png;Événements;Fête des Mères;Consultation d’une idée cadeau ou offre Fête des Mères avec bouquet et coffret.;Fête des Mères, offre cadeau, fleurs, téléphone, coffret
fete_des_peres_01_budget_cadeau.png;Événements;Fête des Pères;Préparation d’un budget cadeau de Fête des Pères avec café, carnet et coffret sobre.;Fête des Pères, budget cadeau, café, carnet, famille
fete_des_peres_02_idee_cadeau_cafe.png;Événements;Fête des Pères;Consultation d’une idée cadeau de Fête des Pères dans un moment café chaleureux.;Fête des Pères, idée cadeau, café, téléphone, coffret
